,Moisture [%],Extract % dm,Color [EBC],Color [SRM],Protein [%],Diastatic power [WK dm],Diastatic power [Lintner],Max %
Pilsner Zero,5,80,3.75,1.905,11.5,250,76,100
Wheat,6,82,5,2.54,13,250,76,100
Pale Ale,5,80,5.5,2.794,11.5,,,100
Pilsner,5,80,3.75,1.905,11.5,250,76,100
Vienna,5,79,8.5,4.318,11.5,,,100
Dextrin,6.5,79,13,6.604,10,150,47.4285714285714,30
Sahti,5,80,5,2.54,,200,61.7142857142857,100
Pale Cookie,6,75,25,12.7,,,,25
Caramel Aromatic,6,75,180,91.44,,,,20
Caramel Sweet,7,75,62.5,31.75,,,,30
Golden Ale,5,80,11.5,5.842,11.5,,,50
Rye,6,81,7,3.556,,,,7
Roasted Barley,5,70,900,457.2,,,,
Chocolate Light,5,68,400,203.2,,,,10
Caramel Wheat,6,70,100,50.8,,,,
Pearled Black,5,65,1000,508,,,,2
Dark Ale,5,78,35,17.78,11.5,,,30
Caramel 30,7,75,30,15.24,,,,
Caramel 50,6,75,50,25.4,,,,
Caramel 100,6,75,100,50.8,,,,
Caramel 150,6,75,150,76.2,,,,
Caramel 200,6,75,200,101.6,,,,
Caramel 300,6,73,300,152.4,,,,
Caramel 400,6,68,400,203.2,,,,
Caramel 600,6,68,600,304.8,,,,
Cookie,6,72,50,25.4,,,,20
Caramel Pale,7.5,77,8,4.064,,,,30
Black,5,65,1400,711.2,,,,2
Red Ale,5,75,70,35.56,,,,20
Munich Light,5,78,16,8.128,,,,100
Munich Dark,5,78,22,11.176,11.5,,,100
Chocolate Dark,5,67,900,457.2,,,,10
